yyyyymmdd,count_distinct_urls,count_distinct_urls_normalized,sum_numMentions,sum_numMentions_normalized,avg_Salience,avgSalience_normalized
01/01/2021,8384,1,14714,1,0.01129685,10
02/01/2021,7546,1,13667,1,0.00928636,5
03/01/2021,8361,1,14850,1,0.01094965,10
04/01/2021,11182,4,18935,4,0.00995683,9
05/01/2021,11768,6,20055,4,0.010207623,9
06/01/2021,11480,5,19339,4,0.00874313,2
07/01/2021,14477,8,25617,8,0.008959145,3
08/01/2021,14966,8,26648,8,0.009213901,5
09/01/2021,11524,5,20256,5,0.009177664,4
10/01/2021,10115,3,17448,2,0.009373366,6
11/01/2021,13179,8,23700,7,0.009441418,6
12/01/2021,15062,8,26827,8,0.008785968,2
13/01/2021,14625,8,25220,8,0.009084972,4
14/01/2021,13491,8,23334,7,0.009154189,4
15/01/2021,12331,7,21245,5,0.009308298,5
16/01/2021,10352,3,18307,3,0.008490539,1
17/01/2021,9334,2,18211,3,0.008512494,1
18/01/2021,11086,4,20165,5,0.009092553,4
19/01/2021,11343,5,18730,3,0.009777205,8
20/01/2021,11258,5,18532,3,0.008063743,1
21/01/2021,11139,4,18105,3,0.009233602,5
22/01/2021,11355,5,18740,3,0.009338801,6
23/01/2021,9274,2,16253,1,0.009332439,6
24/01/2021,8770,1,15198,1,0.009665788,8
25/01/2021,10629,4,19688,4,0.011301727,10
26/01/2021,11277,5,18972,4,0.008951315,3
27/01/2021,11818,6,19827,4,0.008359839,1
28/01/2021,11087,4,18008,3,0.008706814,2
29/01/2021,11653,5,19404,4,0.009030739,3
30/01/2021,8679,1,14312,1,0.010049141,9
31/01/2021,8557,1,14134,1,0.01029075,10
01/02/2021,12232,7,22623,7,0.01041394,10
02/02/2021,12369,7,21125,5,0.009584325,7
03/02/2021,12422,7,23568,7,0.008820283,2
04/02/2021,12765,7,22958,7,0.0087843,2
05/02/2021,12430,7,22486,6,0.008871442,2
06/02/2021,9843,2,18333,3,0.008817211,2
07/02/2021,9086,1,18342,3,0.008512547,1
08/02/2021,10151,3,18504,3,0.009680863,8
09/02/2021,11637,5,20344,5,0.009122604,4
10/02/2021,12217,7,22493,6,0.009143855,4
11/02/2021,11913,6,22736,7,0.008919496,3
12/02/2021,11641,5,21494,6,0.009159656,4
13/02/2021,10402,3,19660,4,0.00780639,1
14/02/2021,9157,1,16481,2,0.008225556,1
15/02/2021,10337,3,17837,2,0.008910189,3
16/02/2021,11182,4,20797,5,0.009650897,7
17/02/2021,12237,7,21409,6,0.008829991,2
18/02/2021,12075,6,20968,5,0.009423995,6
19/02/2021,11867,6,20556,5,0.009480356,7
20/02/2021,10113,3,18226,3,0.008512262,1
21/02/2021,8267,1,15023,1,0.008561259,1
22/02/2021,10554,3,19001,4,0.010255746,10
23/02/2021,11676,6,23285,7,0.010221678,9
24/02/2021,11496,5,21949,6,0.0095581,7
25/02/2021,11653,5,21347,6,0.009358103,6
26/02/2021,12975,8,25245,8,0.010137223,9
27/02/2021,9984,2,18606,3,0.009336409,6
28/02/2021,8919,1,16800,2,0.009424083,6
01/03/2021,11721,6,21742,6,0.009875887,8
02/03/2021,12070,6,22821,7,0.008955965,3
03/03/2021,12779,7,25647,8,0.009421534,6
04/03/2021,12728,7,24704,7,0.008927566,3
05/03/2021,11548,5,22113,6,0.009708568,8
06/03/2021,9523,2,18107,3,0.008909557,3
07/03/2021,10349,3,20557,5,0.009184126,4
08/03/2021,11307,5,21681,6,0.012993182,10
09/03/2021,12446,7,24012,7,0.008937462,3
10/03/2021,11939,6,23632,7,0.008410417,1
11/03/2021,11834,6,22872,7,0.009148203,4
12/03/2021,11787,6,22603,6,0.009533077,7
13/03/2021,9903,2,21913,6,0.009002411,3
14/03/2021,9463,2,19710,4,0.008883344,2
15/03/2021,11986,6,22680,7,0.008952995,3
16/03/2021,12097,6,22669,7,0.009442069,6
17/03/2021,12416,7,23179,7,0.008960642,3
18/03/2021,12680,7,22755,7,0.009317853,5
19/03/2021,12035,6,23367,7,0.009701825,8
20/03/2021,8735,1,16848,2,0.009948568,9
21/03/2021,9271,2,16950,2,0.01135998,10
22/03/2021,11391,5,21253,6,0.009745646,8
23/03/2021,12300,7,23231,7,0.009382867,6
24/03/2021,12209,7,22079,6,0.00970725,8
25/03/2021,12269,7,21389,6,0.00902181,3
26/03/2021,11759,6,20677,5,0.009596101,7
27/03/2021,9261,2,18671,3,0.009116622,4
28/03/2021,9800,2,20301,5,0.009281694,5
29/03/2021,12510,7,25538,8,0.00914129,4
30/03/2021,12197,7,23135,7,0.0090329,3
31/03/2021,12772,7,25009,7,0.009155815,4
01/04/2021,12287,7,22463,6,0.009471336,7
02/04/2021,11264,5,22415,6,0.009963397,9
03/04/2021,9702,2,21041,5,0.009626069,7
04/04/2021,9463,2,20021,4,0.00977147,8
05/04/2021,11708,6,24377,7,0.01059196,10
06/04/2021,11338,5,22609,6,0.010041261,9
07/04/2021,11688,6,21553,6,0.009570073,7
08/04/2021,11984,6,22732,7,0.009433163,6
09/04/2021,14876,8,32697,8,0.01075756,10
10/04/2021,11884,6,24191,7,0.009164867,4
11/04/2021,9501,2,18654,3,0.008880822,2
12/04/2021,12767,7,26884,8,0.009042818,4
13/04/2021,13221,8,26958,8,0.009260245,5
14/04/2021,13290,8,26671,8,0.00795254,1
15/04/2021,13287,8,29047,8,0.008673087,2
16/04/2021,13166,8,25163,7,0.008595383,1
17/04/2021,10983,4,20978,5,0.008523478,1
18/04/2021,9522,2,17936,2,0.008823149,2
19/04/2021,12173,6,24443,7,0.009304,5
20/04/2021,14925,8,34915,9,0.010167456,9
21/04/2021,16438,8,35758,9,0.009907026,8
22/04/2021,14742,8,27246,8,0.009380747,6
23/04/2021,12878,7,22343,6,0.009566994,7
24/04/2021,10416,3,20337,5,0.009591127,7
25/04/2021,9291,2,18062,3,0.011188572,10
26/04/2021,11478,5,20728,5,0.009659738,8
27/04/2021,11933,6,20554,5,0.009316078,5
28/04/2021,12284,7,22671,7,0.008707467,2
29/04/2021,12302,7,21862,6,0.00943746,6
30/04/2021,11360,5,20427,5,0.00938084,6
01/05/2021,9155,1,17099,2,0.009234938,5
02/05/2021,7928,1,14303,1,0.01013882,9
03/05/2021,9932,2,17327,2,0.00954993,7
04/05/2021,11060,4,19804,4,0.009291324,5
05/05/2021,11766,6,21688,6,0.008997573,3
06/05/2021,11925,6,20704,5,0.009646039,7
07/05/2021,11909,6,22682,7,0.009394679,6
08/05/2021,10004,3,20667,5,0.009806597,8
09/05/2021,9623,2,18027,3,0.009288294,5
10/05/2021,12196,7,23109,7,0.009560467,7
11/05/2021,13491,8,25536,8,0.009569361,7
12/05/2021,13761,8,26373,8,0.009721876,8
13/05/2021,12816,7,24011,7,0.00973554,8
14/05/2021,11880,6,23602,7,0.009429475,6
15/05/2021,9645,2,18800,3,0.008698696,2
16/05/2021,10400,3,22405,6,0.008644649,2
17/05/2021,11342,5,22229,6,0.009273435,5
18/05/2021,12262,7,23260,7,0.009188412,4
19/05/2021,12669,7,23638,7,0.010007319,9
20/05/2021,12301,7,23806,7,0.010135684,9
21/05/2021,11256,5,21156,5,0.009799622,8
22/05/2021,9660,2,19155,4,0.009015684,3
23/05/2021,9563,2,19048,4,0.010104187,9
24/05/2021,11268,5,20920,5,0.010386231,10
25/05/2021,12282,7,25033,7,0.009613082,7
26/05/2021,11944,6,21318,6,0.009340524,6
27/05/2021,12156,6,22504,6,0.009390914,6
28/05/2021,12701,7,27233,8,0.009631248,7
29/05/2021,8872,1,16439,1,0.009365876,6
30/05/2021,8656,1,15176,1,0.009148943,4
31/05/2021,9700,2,17033,2,0.009622303,7
01/06/2021,10854,4,19498,4,0.010500492,10
02/06/2021,11761,6,21899,6,0.009648623,7
03/06/2021,10516,3,19061,4,0.009030625,3
04/06/2021,10789,4,18202,3,0.008996494,3
05/06/2021,8741,1,15554,1,0.009600293,7
06/06/2021,8901,1,15782,1,0.009201082,5
07/06/2021,10494,3,18445,3,0.009357184,6
08/06/2021,11006,4,20066,4,0.00984411,8
09/06/2021,10775,4,19667,4,0.010404384,10
10/06/2021,11515,5,19986,4,0.009865845,8
11/06/2021,10211,3,17393,2,0.009669287,8
12/06/2021,8445,1,14347,1,0.010210422,9
13/06/2021,7638,1,13440,1,0.009251088,5
14/06/2021,10569,4,19486,4,0.009348274,6
15/06/2021,11286,5,19770,4,0.009342838,6
16/06/2021,10418,3,17776,2,0.009222516,5
17/06/2021,10889,4,18741,3,0.009658672,8
18/06/2021,10379,3,19148,4,0.009281896,5
19/06/2021,9260,2,15956,1,0.009354829,6
20/06/2021,8268,1,14895,1,0.00946243,6
21/06/2021,9756,2,16329,1,0.009529514,7
22/06/2021,10238,3,17168,2,0.009238802,5
23/06/2021,11252,5,21528,6,0.009292428,5
24/06/2021,10356,3,18647,3,0.009064507,4
25/06/2021,10144,3,18438,3,0.009349176,6
26/06/2021,9012,1,16420,1,0.00869009,2
27/06/2021,8472,1,14695,1,0.008466582,1
28/06/2021,10352,3,18336,3,0.010839922,10
29/06/2021,9886,2,17284,2,0.010380452,10
30/06/2021,10964,4,18469,3,0.009013336,3
01/07/2021,11124,4,18918,4,0.008820334,2
02/07/2021,11393,5,20033,4,0.009005224,3
03/07/2021,9021,1,16739,2,0.010022667,9
04/07/2021,8239,1,15135,1,0.008946469,3
05/07/2021,9654,2,20458,5,0.009570352,7
06/07/2021,10547,3,18580,3,0.009300242,5
07/07/2021,11206,5,20408,5,0.009938942,9
08/07/2021,11179,4,20187,5,0.009780471,8
09/07/2021,10556,3,18059,3,0.009268302,5
10/07/2021,9035,1,16959,2,0.008668756,2
11/07/2021,8072,1,14123,1,0.009672614,8
12/07/2021,10071,3,16961,2,0.008919971,3
13/07/2021,10498,3,17361,2,0.008731622,2
14/07/2021,10431,3,16857,2,0.010167994,9
15/07/2021,10110,3,17434,2,0.009602054,7
16/07/2021,10335,3,18303,3,0.009549674,7
17/07/2021,8746,1,15347,1,0.008739386,2
18/07/2021,7208,1,12487,1,0.008789052,2
19/07/2021,8686,1,14895,1,0.010663087,10
20/07/2021,10629,4,17802,2,0.009001177,3
21/07/2021,9749,2,16536,2,0.010065177,9
22/07/2021,9869,2,16481,2,0.010478633,10
23/07/2021,10045,3,16538,2,0.01033042,10
24/07/2021,8289,1,15230,1,0.010893364,10
25/07/2021,7805,1,13385,1,0.010102453,9
26/07/2021,9429,2,16233,1,0.009468018,6
27/07/2021,10533,3,19316,4,0.010051113,9
28/07/2021,10108,3,17736,2,0.010115693,9
29/07/2021,9908,2,16205,1,0.009842436,8
30/07/2021,10243,3,18597,3,0.009871913,8
31/07/2021,8389,1,15960,1,0.011040411,10
01/08/2021,8170,1,16646,2,0.010599024,10
02/08/2021,10124,3,17641,2,0.010306219,10
03/08/2021,10296,3,18425,3,0.010225366,9
04/08/2021,10883,4,18773,3,0.009879391,8
05/08/2021,11367,5,19489,4,0.009614844,7
06/08/2021,11425,5,20146,5,0.010070132,9
07/08/2021,9401,2,16332,1,0.009116244,4
08/08/2021,8593,1,15434,1,0.009117382,4
09/08/2021,10982,4,19068,4,0.009507158,7
10/08/2021,10956,4,18513,3,0.009738632,8
11/08/2021,11229,5,18243,3,0.008877351,2
12/08/2021,9688,2,16174,1,0.00940957,6
13/08/2021,11478,5,19539,4,0.009464973,6
14/08/2021,9621,2,16684,2,0.00929813,5
15/08/2021,9451,2,16230,1,0.009320384,5
16/08/2021,11178,4,19032,4,0.009795613,8
17/08/2021,11656,5,19529,4,0.00927698,5
18/08/2021,13128,8,21864,6,0.009713327,8
19/08/2021,10749,4,18453,3,0.010401354,10
20/08/2021,10949,4,17855,2,0.009870859,8
21/08/2021,8218,1,14095,1,0.011221361,10
22/08/2021,8175,1,13767,1,0.010572277,10
23/08/2021,10123,3,16677,2,0.010329171,10
24/08/2021,10535,3,17203,2,0.009746183,8
25/08/2021,10390,3,17943,3,0.009780997,8
26/08/2021,11654,5,24309,7,0.010586218,10
27/08/2021,11498,5,22761,7,0.009971593,9
28/08/2021,9424,2,17838,2,0.00985038,8
29/08/2021,9487,2,16508,2,0.009188794,5
30/08/2021,11523,5,19621,4,0.00977694,8
31/08/2021,10184,3,17125,2,0.010728561,10
01/09/2021,10852,4,19060,4,0.010159297,9
02/09/2021,11537,5,20121,5,0.009780937,8
03/09/2021,11603,5,21745,6,0.009084391,4
04/09/2021,8547,1,14572,1,0.009530739,7
05/09/2021,9681,2,17884,2,0.010107824,9
06/09/2021,11049,4,19985,4,0.009396374,6
07/09/2021,11570,5,19877,4,0.008779076,2
08/09/2021,11038,4,19367,4,0.008821452,2
09/09/2021,10937,4,18014,3,0.008950432,3
10/09/2021,11173,4,19805,4,0.008310573,1
11/09/2021,10214,3,18037,3,0.009002203,3
12/09/2021,9252,2,16180,1,0.009221443,5
13/09/2021,10228,3,17399,2,0.00966494,8
14/09/2021,10460,3,18239,3,0.009077275,4
15/09/2021,12201,7,21196,5,0.009580951,7
16/09/2021,10967,4,21298,6,0.009096518,4
17/09/2021,10984,4,20502,5,0.009862732,8
18/09/2021,9021,1,16776,2,0.009049289,4
19/09/2021,7637,1,13126,1,0.009004947,3
20/09/2021,11262,5,18530,3,0.008569045,1
21/09/2021,11850,6,21557,6,0.01034369,10
22/09/2021,12371,7,21394,6,0.009757248,8
23/09/2021,11366,5,19477,4,0.009808448,8
24/09/2021,11669,6,22324,6,0.009201177,5
25/09/2021,9200,1,17349,2,0.007795345,1
26/09/2021,8919,1,16373,1,0.008486973,1
27/09/2021,10611,4,17697,2,0.009160073,4
28/09/2021,11216,5,18439,3,0.009293045,5
29/09/2021,11550,5,20236,5,0.009378608,6
30/09/2021,12430,7,21699,6,0.009185675,4
01/10/2021,11768,6,20392,5,0.00887299,2
02/10/2021,9183,1,16808,2,0.009888819,8
03/10/2021,8799,1,16793,2,0.008810563,2
04/10/2021,11748,6,19893,4,0.009294101,5
05/10/2021,11399,5,19234,4,0.009150277,4
06/10/2021,11661,5,20329,5,0.009266316,5
07/10/2021,11939,6,20810,5,0.008791589,2
08/10/2021,11965,6,21091,5,0.009286479,5
09/10/2021,9540,2,17870,2,0.009973273,9
10/10/2021,9541,2,17217,2,0.008886,3
11/10/2021,10853,4,18235,3,0.009586378,7
12/10/2021,11660,5,20049,4,0.008959926,3
13/10/2021,11615,5,20700,5,0.009351832,6
14/10/2021,13523,8,26698,8,0.009281554,5
15/10/2021,13083,8,25317,8,0.008915571,3
16/10/2021,11078,4,23286,7,0.009752048,8
17/10/2021,10671,4,20887,5,0.009366454,6
18/10/2021,12069,6,21769,6,0.01011007,9
19/10/2021,12229,7,22640,7,0.010307851,10
20/10/2021,12265,7,21917,6,0.009496028,7
21/10/2021,12209,7,22236,6,0.0099592,9
22/10/2021,13439,8,24499,7,0.009377675,6
23/10/2021,10140,3,18859,3,0.009255322,5
24/10/2021,10052,3,17142,2,0.008468117,1
25/10/2021,12148,6,22212,6,0.010109428,9
26/10/2021,11952,6,22148,6,0.010748588,10
27/10/2021,11900,6,21208,5,0.010632837,10
28/10/2021,11492,5,20218,5,0.009053651,4
29/10/2021,11046,4,19526,4,0.008945745,3
30/10/2021,10096,3,18212,3,0.010184137,9
31/10/2021,9793,2,17804,2,0.01025939,10
01/11/2021,10823,4,19316,4,0.009762664,8
02/11/2021,12345,7,22279,6,0.009627636,7
03/11/2021,12805,7,23304,7,0.009201849,5
04/11/2021,12385,7,21214,5,0.009318252,5
05/11/2021,12344,7,22124,6,0.009569037,7
06/11/2021,10711,4,19598,4,0.009417024,6
07/11/2021,10460,3,21035,5,0.009670491,8
08/11/2021,11845,6,21678,6,0.008893339,3
09/11/2021,11724,6,20766,5,0.009232334,5
10/11/2021,11809,6,20488,5,0.009321682,6
11/11/2021,12273,7,20996,5,0.009234049,5
12/11/2021,11795,6,20725,5,0.010196059,9
13/11/2021,10354,3,19089,4,0.009752483,8
14/11/2021,9532,2,16748,2,0.009607225,7
15/11/2021,12070,6,21686,6,0.009369684,6
16/11/2021,12092,6,21328,6,0.008977888,3
17/11/2021,11943,6,20537,5,0.009124847,4
18/11/2021,12810,7,22105,6,0.008806895,2
19/11/2021,10865,4,19461,4,0.009105926,4
20/11/2021,9346,2,16334,1,0.009242116,5
21/11/2021,9235,1,18959,4,0.009748609,8
22/11/2021,10612,4,18403,3,0.010739717,10
